# Review

## Summary
The paper introduces Continuous Online Action Detection (COAD), a novel task formulation that enables models to not only detect actions in real time, but also train and adapt directly on continuous video streams. To support this task, the authors curated Ego-OAD, a large-scale benchmark derived from Ego4D. The proposed method introduces training strategies tailored for OAD from continuous video streams, and experiments on Ego-OAD validate the effectiveness of COAD.

## Soundness
3

## Presentation
3

## Contribution
3

## Strengths
1. The paper is well-written and easy to follow.
2. The paper introduces a new task formulation that enables models to adapt online from continuous egocentric video streams using single-pass training.
3. The paper curates a new large-scale benchmark for egocentric OAD based on the Ego4D dataset, providing a diverse and realistic evaluation platform for future research in this direction.
17. The proposed COAD task is similar to the cross-domain video scene detection task, what are the main differences between COAD and cross-domain video scene detection?
18. The proposed COAD task is similar to the cross-domain video scene segmentation task, what are the main differences between COAD and cross-domain video scene segmentation?
19. The proposed COAD task is similar to the cross-domain video salient object detection task, what are the main differences between COAD and cross-domain video salient object detection?
20. The proposed COAD task is similar to the cross-domain video salient object segmentation task, what are the main differences between COAD and cross-domain video salient object segmentation?
21. The proposed COAD task is similar to the cross-domain video temporal salient object segmentation task, what are the main differences between COAD and cross-domain video temporal salient object segmentation?
22. The proposed COAD task is similar to the cross-domain video background substraction task, what are the main differences between COAD and cross-domain video background substraction?
23. The proposed COAD task is similar to the cross-domain video background subsegmentation task, what are the main differences between COAD and cross-domain video background subsegmentation?
24. The proposed COAD task is similar to the cross-domain video temporal background substraction task, what are the main differences between COAD and cross-domain video temporal background substraction?
25. The proposed COAD task is similar to the cross-domain video temporal background subsegmentation task, what are the main differences between COAD and cross-domain video temporal background subsegmentation?
26. The proposed COAD task is similar to the cross-domain video object segmentation task, what are the main differences between COAD and cross-domain video object segmentation?
27. The proposed COAD task is similar to the cross-domain video object tracking task, what are the main differences between COAD and cross-domain video object tracking?
28. The proposed COAD task is similar to the cross-domain video multiple object tracking task, what are the main differences between COAD and cross-domain video multiple object tracking?
29. The proposed COAD task is similar to the cross-domain video tracking task, what are the main differences between COAD and cross-domain video tracking?
30. The proposed COAD task is similar to the cross-domain video salient object tracking task, what are the main differences between COAD and cross-domain video salient object tracking?
31. The proposed COAD task is similar to the cross-domain video background object tracking task, what are the main differences between COAD and cross-domain video background object tracking?
32. The proposed COAD task is similar to the cross-domain video scene object tracking task, what are the main differences between COAD and cross-domain video scene object tracking?
33. The proposed COAD task is similar to the cross-domain video multiple object tracking by detection task, what are the main differences between COAD and cross-domain video multiple object tracking by detection?
34. The proposed COAD task is similar to the cross-domain video multiple object tracking by segmentation task, what are the main differences between COAD and cross-domain video multiple object tracking by segmentation?
35. The proposed COAD task is similar to the cross-domain video multiple object tracking by recognition task, what are the main differences between COAD and cross-domain video multiple object tracking by recognition?
36. The proposed COAD task is similar to the cross-domain video multiple object tracking by color task, what are the main differences between COAD and cross-domain video multiple object tracking by color?
37. The proposed COAD task is similar to the cross-domain video multiple object tracking by pattern task, what are the main differences between COAD and cross-domain video multiple object tracking by pattern?
38. The proposed COAD task is similar to the cross-domain video multiple object tracking by edge task, what are the main differences between COAD and cross-domain video multiple object tracking by edge?
39. The proposed COAD task is similar to the cross-domain video multiple object tracking by motion task, what are the main differences between COAD and cross-domain video multiple object tracking by motion?
40. The proposed COAD task is similar to the cross-domain video multiple object tracking by semantic task, what are the main differences between COAD and cross-domain video multiple object tracking by semantic?
41. The proposed COAD task is similar to the cross-domain video multiple object tracking by appearance task, what are the main differences between COAD and cross-domain video multiple object tracking by appearance?
42. The proposed COAD task is similar to the cross-domain video multiple object tracking by shape task, what are the main differences between COAD and cross-domain video multiple object tracking by shape?
43. The proposed COAD task is similar to the cross-domain video multiple object tracking by size task, what are the main differences between COAD and cross-domain video multiple object tracking by size?
44. The proposed COAD task is similar to the cross-domain video multiple object tracking by rotation task, what are the main differences between COAD and cross-domain video multiple object tracking by rotation?
45. The proposed COAD task is similar to the cross-domain video multiple object tracking by occlusion task, what are the main differences between COAD and cross-domain video multiple object tracking by occlusion?
46. The proposed COAD task is similar to the cross-domain video multiple object tracking by illumination task, what are the main differences between COAD and cross-domain video multiple object tracking by illumination?
47. The proposed COAD task is similar to the cross-domain video multiple object tracking by weather task, what are the main differences between COAD and cross-domain video multiple object tracking by weather?
48. The proposed COAD task is similar to the cross-domain video multiple object tracking by time task, what are the main differences between COAD and cross-domain video multiple object tracking by time?
49. The proposed COAD task is similar to the cross-domain video multiple object tracking by day/night task, what are the main differences between COAD and cross-domain video multiple object tracking by day/night?
50. The proposed COAD task is similar to the cross-domain video multiple object tracking by indoor/outdoor task, what are the main differences between COAD and cross-domain video multiple object tracking by indoor/outdoor?
51. The proposed COAD task is similar to the cross-domain video multiple object tracking by indoor scene task, what are the main differences between COAD and cross-domain video multiple object tracking by indoor scene?
52. The proposed COAD task is similar to the cross-domain video multiple object tracking by outdoor scene task, what are the main differences between COAD and cross-domain video multiple object tracking by outdoor scene?
53. The proposed COAD task is similar to the cross-domain video multiple object tracking by water scene task, what are the main differences between COAD and cross-domain video multiple object tracking by water scene?
54. The proposed COAD task is similar to the cross-domain video multiple object tracking by forest scene task, what are the main differences between COAD and cross-domain video multiple object tracking by forest scene?
55. The proposed COAD task is similar to the cross-domain video multiple object tracking by desert scene task, what are the main differences between COAD and cross-domain video multiple object tracking by desert scene?
56. The proposed COAD task is similar to the cross-domain video multiple object tracking by ice scene task, what are the main differences between COAD and cross-domain video multiple object tracking by ice scene?
57. The proposed COAD task is similar to the cross-domain video multiple object tracking by snow scene task, what are the main differences between COAD and cross-domain video multiple object tracking by snow scene?
58. The proposed COAD task is similar to the cross-domain video multiple object tracking by fog scene task, what are the main differences between COAD and cross-domain video multiple object tracking by fog scene?
59. The proposed COAD task is similar to the cross-domain video multiple object tracking by cloud scene task, what are the main differences between COAD and cross-domain video multiple object tracking by cloud scene?
60. The proposed COAD task is similar to the cross-domain video multiple object tracking by sleet scene task, what are the main differences between COAD and cross-domain video multiple object tracking by sleet scene?
61. The proposed COAD task is similar to the cross-domain video multiple object tracking by sandstorm scene task, what are the main differences between COAD and cross-domain video multiple object tracking by sandstorm scene?
62. The proposed COAD task is similar to the cross-domain video multiple object tracking by tornado scene task, what are the main differences between COAD and cross-domain video multiple object tracking by tornado scene?
63. The proposed COAD task is similar to the cross-domain video multiple object tracking by hurricane scene task, what are the main differences between COAD and cross-domain video multiple object tracking by hurricane scene?
64. The proposed COAD task is similar to the cross-domain video multiple object tracking by blizzard scene task, what are the main differences between COAD and cross-domain video multiple object tracking by blizzard scene?
65. The proposed COAD task is similar to the cross-domain video multiple object tracking by dust storm scene task, what are the main differences between COAD and cross-domain video multiple object tracking by dust storm scene?
66. The proposed COAD task is similar to the cross-domain video multiple object tracking by acid rain scene task, what are the main differences between COAD and cross-domain video multiple object tracking by acid rain scene?
67. The proposed COAD task is similar to the cross-domain video multiple object tracking by mist scene task, what are the main differences between COAD and cross-domain video multiple object tracking by mist scene?
68. The proposed COAD task is similar to the cross-domain video multiple object tracking by foggy scene task, what are the main differences between COAD and cross-domain video multiple object tracking by foggy scene?
69. The proposed COAD task is similar to the cross-domain video multiple object tracking by smoggy scene task, what are the main differences between COAD and cross-domain video multiple object tracking by smoggy scene?
70. The proposed COAD task is similar to the cross-domain video multiple object tracking by smog scene task, what are the main differences between COAD and cross-domain video multiple object tracking by smog scene?
71. The proposed COAD task is similar to the cross-domain video multiple object tracking by haze scene task, what are the main differences between COAD and cross-domain video multiple object tracking by haze scene?
72. The proposed COAD task is similar to the cross-domain video multiple object tracking by steam scene task, what are the main differences between COAD and cross-domain video multiple object tracking by steam scene?
73. The proposed COAD task is similar to the cross-domain video multiple object tracking by smoke scene task, what are the main differences between COAD and cross-domain video multiple object tracking by smoke scene?
74. The proposed COAD task is similar to the cross-domain video multiple object tracking by gas scene task, what are the main differences between COAD and cross-domain video multiple object tracking by gas scene?
75. The proposed COAD task is similar to the cross-domain video multiple object tracking by misty scene task, what are the main differences between COAD and cross-domain video multiple object tracking by misty scene?
76. The proposed COAD task is similar to the cross-domain video multiple object tracking by dew scene task, what are the main differences between COAD and cross-domain video multiple object tracking by dew scene?
77. The proposed COAD task is similar to the cross-domain video multiple object tracking by hoarfrost scene task, what are the main differences between COAD and cross-domain video multiple object tracking by hoarfrost scene?
78. The proposed COAD task is similar to the cross-domain video multiple object tracking by frost scene task, what are the main differences between COAD and cross-domain video multiple object tracking by frost scene?
79. The proposed COAD task is similar to the cross-domain video multiple object tracking by freezing scene task, what are the main differences between COAD and cross-domain video multiple object tracking by freezing scene?
80. The proposed COAD task is similar to the cross-domain video multiple object tracking by icy scene task, what are the main differences between COAD and cross-domain video multiple object tracking by icy scene?
81. The proposed COAD task is similar to the cross-domain video multiple object tracking by icy wind scene task, what are the main differences between COAD and cross-domain video multiple object tracking by icy wind scene?
82. The proposed COAD task is similar to the cross-domain video multiple object tracking by snowflake scene task, what are the main differences between COAD and cross-domain video multiple object tracking by snowflake scene?
83. The proposed COAD task is similar to the cross-domain video multiple object tracking by sleet scene task, what are the main differences between COAD and cross-domain video multiple object tracking by sleet scene?
84. The proposed COAD task is similar to the cross-domain video multiple object tracking by sandstorm scene task, what are the main differences between COAD and cross-domain video multiple object tracking by sandstorm scene?
85. The proposed COAD task is similar to the cross-domain video multiple object tracking by dust storm scene task, what are the main differences between COAD and cross-domain video multiple object tracking by dust storm scene?
86. The proposed COAD task is similar to the cross-domain video multiple object tracking by acid rain scene task, what are the main differences between COAD and cross-domain video multiple object tracking by acid rain scene?
87. The proposed COAD task is similar to the cross-domain video multiple object tracking by smog scene task, what are the main differences between COAD and cross-domain video multiple object tracking by smog scene?
88. The proposed COAD task is similar to the cross-domain video multiple object tracking by haze scene task, what are the main differences between COAD and cross-domain video multiple object tracking by haze scene?
89. The proposed COAD task is similar to the cross-domain video multiple object tracking by steam scene task, what are the main differences between COAD and cross-domain video multiple object tracking by steam scene?
90. The proposed COAD task is similar to the cross-domain video multiple object tracking by smoke scene task, what are the main differences between COAD and cross-domain video multiple object tracking by smoke scene?
91. The proposed COAD task is similar to the cross-domain video multiple object tracking by gas scene task, what are the main differences between COAD and cross-domain video multiple object tracking by gas scene?
92. The proposed COAD task is similar to the cross-domain video multiple object tracking by misty scene task, what are the main differences between COAD and cross-domain video multiple object tracking by misty scene?
93. The proposed COAD task is similar to the cross-domain video multiple object tracking by dew scene task, what are the main differences between COAD and cross-domain video multiple object tracking by dew scene?
94. The proposed COAD task is similar to the cross-domain video multiple object tracking by hoarfrost scene task, what are the main differences between COAD and cross-domain video multiple object tracking by hoarfrost scene?
95. The proposed COAD task is similar to the cross-domain video multiple object tracking by frost scene task, what are the main differences between COAD and cross-domain video multiple object tracking by frost scene?
96. The proposed COAD task is similar to the cross-domain video multiple object tracking by freezing scene task, what are the main differences between COAD and cross-domain video multiple object tracking by freezing scene?
97. The proposed COAD task is similar to the cross-domain video multiple object tracking by icy scene task, what are the main differences between COAD and cross-domain video multiple object tracking by icy scene?
98. The proposed COAD task is similar to the cross-domain video multiple object tracking by icy wind scene task, what are the main differences between COAD and cross-domain video multiple object tracking by icy wind scene?
99. The proposed COAD task is similar to the cross-domain video multiple object tracking by snowflake scene task, what are the main differences between COAD and cross-domain video multiple object tracking by snowflake scene?
100. The proposed COAD task is similar to the cross-domain video multiple object tracking by sleet scene task,
