paper_id,title,decision,gt_binary,avg_score,scores,venue,pdf_url
zwfpyw345l,Hierarchical Code Embeddings with Multi-Level Attention for Reinforcement Learning State Representation,Reject,Reject,0.50,0 0 2 0,Submitted to ICLR 2026,/pdf/293bbf406ac5f2948e1bb7bb48c7a1596b0596c7.pdf
zwMpimSZEq,Traceable Evidence Enhanced Visual Grounded Reasoning: Evaluation and Method,Accept (Poster),Accept,5.00,4 4 6 6,ICLR 2026 Poster,/pdf/e41493b743a48893a6514adfc380e1d27dec1dc8.pdf
zwLpUxiqSE,Space Filling Curves as Spatial Priors for Small or Data-Scarce Vision Transformers,Reject,Reject,4.50,4 2 6 6,Submitted to ICLR 2026,/pdf/b13e57d621a60964b72b4ed4151b31cde248efd2.pdf
zw8zxMJJlm,QeRL: Beyond Efficiency - Quantization-enhanced Reinforcement Learning for LLMs,Accept (Poster),Accept,6.00,6 4 8 6,ICLR 2026 Poster,/pdf/9040159e39fb36d10a303d4cf2d1d9913ca78e8b.pdf
zw0IMYPLQZ,SINGER: Leveraging Semantic Identifier Hierarchies for Generative Recommendation,Reject,Reject,4.00,4 4 2 6,Submitted to ICLR 2026,/pdf/ac6b2bce2b8643888052bf9e870e7616210546c8.pdf
zvzrDQTk1n,AtomWorld: Benchmarking Spatial Reasoning in Large Language Models on Crystalline Materials,Reject,Reject,3.50,6 4 0 4,Submitted to ICLR 2026,/pdf/a75f40dff50522a13c5ff1351f90d235b7b7f78d.pdf
zvw9Hiwa0i,Beyond Scattered Acceptance: Fast and Coherent Inference for DLMs via Longest Stable Prefixes,Accept (Poster),Accept,5.00,10 2 4 4,ICLR 2026 Poster,/pdf/6e67048b1d8c8f206469e3c6636a5ef34951e3c9.pdf
zvvZl0N3Sm,Paying More Attention to Images in Large-scale Dataset Compression,Reject,Reject,5.00,6 6 4 4,Submitted to ICLR 2026,/pdf/a06f74bf0e3cef8c2e9e494b2246b5b1b2f4afab.pdf
zvUiJqGRZx,CharacterShot: Controllable and Consistent 4D Character Animation,Reject,Reject,5.00,4 4 6 6,Submitted to ICLR 2026,/pdf/8dbf98281a85a55d6bc6cbbeba7edbe2bff1d192.pdf
zvL42fmtbG,ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks,Reject,Reject,4.00,2 4 4 4 6 4,Submitted to ICLR 2026,/pdf/18536bd3246ec2244b99db34dbfc5b8957898125.pdf
zvHqmW4NkP,Deep Reflection Hinting: Leveraging Offline Knowledge for Improving LLM Agents Adaptation,Reject,Reject,3.33,6 2 2,Submitted to ICLR 2026,/pdf/b26fbee0ca882a0d99d66f0b517d4c5f6e142bfc.pdf
zv91fpVOGc,Multi-Layer Diffusion Strategy for Multi-IP Interaction-Aware Human Erasing,Reject,Reject,5.33,4 6 6,Submitted to ICLR 2026,/pdf/40e9bb15a48f7c8858b783d4e7420129c77c54d4.pdf
zuvcCOnm27,Data Efficacy for Language Model Training,Reject,Reject,4.50,2 6 6 4,Submitted to ICLR 2026,/pdf/2a28c1bbd2b25dcaa1c2fe4f69bf061ebecc213c.pdf
zueIXg5FP5,Algorithmic Guarantees for Distilling Supervised and Offline RL Datasets,Accept (Poster),Accept,5.33,6 6 4,ICLR 2026 Poster,/pdf/d5cf2c37ea414f86cc97912d91c7fa67b518cc16.pdf
zuYXSoOzYG,Shaping Monotonic Neural Networks with Constrained Learning,Reject,Reject,2.00,2 2 2 2,Submitted to ICLR 2026,/pdf/860305d481321cdddbb1907204ce181a68a8110f.pdf
zuPxAZgT9F,STVG-R1: Incentivizing Instance-Level Reasoning and Grounding in Videos via Reinforcement Learning,Accept (Poster),Accept,4.67,4 4 6,ICLR 2026 Poster,/pdf/d0587af320039b78998d65ef19b447e83d825da9.pdf
zuGt6TYYtS,FastGRPO: Accelerating Policy Optimization via Concurrency-aware Speculative Decoding and Online Draft Learning,Accept (Poster),Accept,4.67,2 6 6,ICLR 2026 Poster,/pdf/158772cf7f7fadeeeb20bad1fa0884794e1f069f.pdf
zu2BjeEwRJ,How Predictable is AI Progress?,Reject,Reject,2.00,2 2 2 2,Submitted to ICLR 2026,/pdf/fdba51fffecf5061fe08cc009445129f6d4edd60.pdf
zu02kGyZsw,Quality-constrained Entropy Maximization Policy Optimization for LLM Diversity,Reject,Reject,2.50,2 2 4 2,Submitted to ICLR 2026,/pdf/0e4ea78b0af3d6a919aa413e61eee448aa57118a.pdf
ztu1yY0KHD,Extending Differential Temporal Difference Methods to Episodic Problems,Reject,Reject,4.00,2 8 2 4,Submitted to ICLR 2026,/pdf/37b622d8bbcdd9ab4b672bdc5910738801ae47ad.pdf
ztIFs5nZJr,Real-Aware Residual Model Merging for Deepfake Detection,Reject,Reject,5.50,6 6 4 6,Submitted to ICLR 2026,/pdf/80f73928a60572f75aea04b89429ebd5b8dddf99.pdf
ztGHhyicWs,Adaptive Test-Time Compute Allocation via Training-Free Difficulty Proxies,Reject,Reject,3.50,4 2 4 4,Submitted to ICLR 2026,/pdf/dca669b587ef97c9d01d61fba1638bf00975ce10.pdf
ztEKLEUNKS,Conformal Prediction with Corrupted Labels: Uncertain Imputation and Robust Re-weighting,Accept (Poster),Accept,6.00,8 6 6 4,ICLR 2026 Poster,/pdf/42a936bc23f1b8c6581728a1890cc0d43218fef2.pdf
zt7IPzsXrT,"Forget Many, Forget Right: Scalable and Precise Concept Unlearning in Diffusion Models",Accept (Poster),Accept,5.00,6 6 4 4,ICLR 2026 Poster,/pdf/2f22baac9eba737d7073e5e38fa293cd333f3b32.pdf
zsNUc2iMzp,LMask: Learn to Solve Constrained Routing Problems with Lazy Masking,Accept (Poster),Accept,6.00,4 6 8 6,ICLR 2026 Poster,/pdf/a7106969366d3543a80f2e5659a599b93689348a.pdf
zrw9c0I34k,FastFit: Accelerating Multi-Reference Virtual Try-On via Cacheable Diffusion Models,Reject,Reject,4.50,4 4 6 4,Submitted to ICLR 2026,/pdf/d3c1be408691dbbc0d52a7e1ed9c29b501597124.pdf
zrmQ4koOw9,WSVD: Weighted Low-Rank Approximation for Fast and Efficient Execution of Low-Precision Vision-Language Models,Accept (Poster),Accept,5.50,4 6 6 6,ICLR 2026 Poster,/pdf/744842ad416299c2d36d5d751b710ef5f22cb7eb.pdf
zrQkWSecMR,Towards Generalizable PDE Dynamics Forecasting via Physics-Guided Invariant Learning,Accept (Poster),Accept,5.00,6 4 6 4,ICLR 2026 Poster,/pdf/2ae91d5bf47ad1f5735554730d8f5c31d2acda0f.pdf
zrKFIfjcRp,StefaLand: An Efficient Geoscience Foundation Model That Improves Dynamic Land–Surface Predictions,Reject,Reject,3.33,4 4 2,Submitted to ICLR 2026,/pdf/0ea343c0127587436e59a4c38cec35eb9debc832.pdf
zrH2A1upAo,GuirlVG: Incentivize GUI Visual Grounding via Empirical Exploration on Reinforcement Learning,Accept (Poster),Accept,5.00,4 4 6 6,ICLR 2026 Poster,/pdf/919ddb918b69ab7d3cc24fc3b444056d2343a5f7.pdf
zrGcuTNwu1,Achieve Latency-Efficient Tempora-Coding  Spiking LLMs via Discretization-Aware Conversion,Reject,Reject,4.50,4 4 4 6,Submitted to ICLR 2026,/pdf/7e811df5afd6ed194e721142d39e2b6c6068791e.pdf
zrFnwRHuQo,On The Surprising Effectiveness of a Single Global Merging in Decentralized Learning,Accept (Oral),Accept,7.50,8 8 6 8,ICLR 2026 Oral,/pdf/35033b0a0d437cfea192f0cf23a9694d0219c563.pdf
zrCGvLOrTL,Take Note: Your Molecular Dataset Is Probably Aligned,Accept (Poster),Accept,6.00,4 10 2 8,ICLR 2026 Poster,/pdf/299e9e4d5994505b08ff5b26f645e31e720338e0.pdf
zqcYoxXiN3,Aegis: Automated Error Generation and Attribution for Multi-Agent Systems,Accept (Poster),Accept,6.00,8 6 6 4,ICLR 2026 Poster,/pdf/5a1dc71656e2b9b32e3d7146232e844dd64da9b7.pdf
zqOCacBD3P,Prompt Curriculum Learning for Efficient LLM Post-Training,Accept (Poster),Accept,5.60,6 6 6 8 2,ICLR 2026 Poster,/pdf/33b6a4fd2066a3c9dd58eb0b4ce0d887c1c8d102.pdf
zqA7Q9Q21L,R2PS: Worst-Case Robust Real-Time Pursuit Strategies under Partial Observability,Accept (Poster),Accept,5.60,8 4 4 8 4,ICLR 2026 Poster,/pdf/f13bfd1396744d8ad8ddcd58b06aacd1b4310b1e.pdf
zq40cmz1JD,When Speculation Spills Secrets: Side Channels via Speculative Decoding in LLMs,Reject,Reject,5.00,4 4 6 6,Submitted to ICLR 2026,/pdf/ac37e74e3dcd1a98b5974887038de555f2a6fb95.pdf
zq3vAmuUk9,"AgentRL: Scaling Agentic Reinforcement Learning with a Multi-Turn, Multi-Task Framework",Reject,Reject,5.50,6 6 4 6,Submitted to ICLR 2026,/pdf/b472607e337d88bcb28369ce966981a6952bde36.pdf
zph7e5JaXc,Explain in Your Own Words: Improving Reasoning via Token-Selective Dual Knowledge Distillation,Accept (Poster),Accept,5.00,4 6 4 6,ICLR 2026 Poster,/pdf/2d0c74e15a71b526477e6f43e48929b2167aa2aa.pdf
zowuEuRZXs,MultiDiffNet: A Multi-Objective Diffusion Framework for Generalizable Brain Decoding,Reject,Reject,2.33,2 2 4 0 2 4,Submitted to ICLR 2026,/pdf/bb7154db3d95d2372da9be684fa852bf752032fa.pdf
zonBdwUL26,"Circuits, Features, and Heuristics in Molecular Transformers",Reject,Reject,5.00,4 4 4 8,Submitted to ICLR 2026,/pdf/bb0790a18f1de766ba1e078a95f97e5533d82968.pdf
zoYPlgX1bH,Bi-LoRA: Efficient Sharpness-Aware Minimization for Fine-Tuning Large-Scale Models,Accept (Poster),Accept,6.00,4 8 8 4,ICLR 2026 Poster,/pdf/d514cf4325ef5544f0c4a10d3114859578bef09b.pdf
znx9JFvC6E,Jailbreaking LLMs' Safeguard with Universal Magic Words for Text Embedding Models,Reject,Reject,4.67,6 4 4,Submitted to ICLR 2026,/pdf/6f0db7bda84c22c7a1e0bcab16067a75529d5acf.pdf
znuYrkEWmZ,Unpacking In-Context Learning: Underlying Mechanism and Out-of-Distribution Generalization via Blended Training on Function Mixture,Reject,Reject,2.40,2 2 4 2 2,Submitted to ICLR 2026,/pdf/f49b7581537104622228a156f118213aa72b0681.pdf
znsrpkKqrp,Option Discovery via Differentiable Neural Decomposition,Reject,Reject,4.67,8 2 4,Submitted to ICLR 2026,/pdf/76d27e103e8877e439eed726409def9294ade4c2.pdf
znnA2Opw6v,KnowledgeSmith: Uncovering Knowledge Updating in LLMs with Model Editing and Unlearning,Accept (Poster),Accept,6.67,4 8 8,ICLR 2026 Poster,/pdf/fd9d20ad0bb907fb145db204d7e4ce1aa3ccf08e.pdf
znDmHZbvY6,Ambient Dataloops: Generative Models for Dataset Refinement,Reject,Reject,4.00,4 4 2 6,Submitted to ICLR 2026,/pdf/9c59d6f8ec0035609cc583704fc22a301f79752c.pdf
zmZsWCGzUV,Translate Policy to Language: Flow Matching Generated Rewards for LLM Explanations,Accept (Poster),Accept,6.00,8 6 8 4 4,ICLR 2026 Poster,/pdf/47c44928a41546398383303a351cee1c97b1dc35.pdf
zmYx32SSOR,Advancing Equitable AI: A Comprehensive Framework for Individual Fairness Assessment,Reject,Reject,1.00,0 0 2 2,Submitted to ICLR 2026,/pdf/f15c77eadf982bc6dfb5a1650dfe7a3e97d689d5.pdf
zm35dmBdok,FOLD: Fast Correct Speculative Decoding,Reject,Reject,3.33,2 4 4,ICLR 2026 Conference Withdrawn Submission,/pdf/fae8942845b413566829584ce76e21281d214e19.pdf
zlNZBxQZIC,Captain Cinema: Towards Short Movie Generation,Accept (Poster),Accept,6.00,4 8 8 4,ICLR 2026 Poster,/pdf/008032fa5c54abbf92e4a3bc7da69fb37304e00f.pdf
zkwxFCsQJO,Emergent Global OOD Performance in Multimodal Mammography Models,Reject,Reject,1.60,2 4 0 0 2,Submitted to ICLR 2026,/pdf/21cb3f411d1ef5e49ac5e754169e03c910519764.pdf
zkeRriSIEl,Bearing Syntactic Fruit with Stack-Augmented Neural Networks,Reject,Reject,4.00,4 2 6,Submitted to ICLR 2026,/pdf/dcc69c15f55ee2baf01b0ce415ac2cc625691e04.pdf
zkUbhdAiFJ,Attention Is All You Need for KV Cache in Diffusion LLMs,Accept (Poster),Accept,5.00,4 6 6 4,ICLR 2026 Poster,/pdf/760ba81d51684c6c210aa2af59bd04f110eaf6f6.pdf
zkCZDdeS9s,Dancing in Chains: Strategic Persuasion in Academic Rebuttal via Theory of Mind,Accept (Poster),Accept,5.00,4 6 6 4,ICLR 2026 Poster,/pdf/e16408508616020574f4507fd46321a2bedc78f7.pdf
zjaV5zmlkl,Towards True Speech-to-Speech Models Without Text Guidance,Accept (Poster),Accept,5.50,6 6 6 4,ICLR 2026 Poster,/pdf/b54fff0eb8b47d1c7defef87e1c9f404abe5c6ba.pdf
zj2mI9TSF7,Mechanistic evaluation of Transformers and state space models,Reject,Reject,4.00,4 2 6 4,Submitted to ICLR 2026,/pdf/9f81af041140049b345041d2dd6eb3d2c9eebe65.pdf
zimuL7ZmIi,TSM-Bench: Detecting LLM-Generated Text in Real-World Wikipedia Editing Practices,Accept (Poster),Accept,4.50,8 4 2 4,ICLR 2026 Poster,/pdf/7efcd1394a34fcde0d1b425646c6856a5b83a78f.pdf
zilyretTjq,Survival at Any Cost? LLMs and the Choice Between Self-Preservation and Human Harm,Reject,Reject,4.50,6 6 4 2,ICLR 2026 Conference Withdrawn Submission,/pdf/de361b66a6a8608f9aed6b775ab536ae1a4307d6.pdf
zijZ40pBbV,Data Diversity for Compositional Generalization,Reject,Reject,3.50,4 2 6 2,Submitted to ICLR 2026,/pdf/1f40f5d64b4dc0adb681ffa9fe25cf62f67db0dc.pdf
zifQaLogHV,ModernVBERT: Towards Smaller Visual Document Retrievers,Reject,Reject,5.00,6 4 4 6,Submitted to ICLR 2026,/pdf/692d85b93863203f68df1c4059239926c8228b8f.pdf
zibL9wu2LI,InSTA: Towards Internet-Scale Training For Agents,Reject,Reject,5.50,4 4 10 4,Submitted to ICLR 2026,/pdf/20f5efb7d7456cfeb09d1176a566acca72086a10.pdf
ziPdvfaOy6,Dig2DIG: Dig into Diffusion Information Gains for Image Fusion,Reject,Reject,4.00,4 4 4 4,Submitted to ICLR 2026,/pdf/cc47aa9a965ec2f12718544486ec86fe7e864304.pdf
ziP9zetlLp,Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment,Accept (Poster),Accept,4.50,4 8 4 2,ICLR 2026 Poster,/pdf/601bcf2b74d50cd4aec28bb6e918658b6dd12f0f.pdf
ziKFH7whvy,FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,Accept (Poster),Accept,6.00,8 4 6 6,ICLR 2026 Poster,/pdf/4dc4a8361c1a8896d2fba2be944cba84986d0a9d.pdf
zhqiPuLQHU,Orion: Intervention-Validated Causal Discovery for Spatiotemporal Forecasting,Reject,Reject,4.00,4 4 6 2,Submitted to ICLR 2026,/pdf/69e0796acd5ef4cd2e570760d48c7a0f6136d662.pdf
zhYCLQeMIV,GDaT: Generalizable Density-aware Transformer for Solving the Traveling Salesman Problem,Reject,Reject,4.50,6 4 4 4,Submitted to ICLR 2026,/pdf/725100be385b7cb2fb82f6a0e47135b2eb8dbf31.pdf
zhXSs3hdFR,Orthogonal Calibration for Asynchronous Federated Learning,Reject,Reject,3.50,2 2 4 6,Submitted to ICLR 2026,/pdf/ab20b04bff132a1aac4afc854b8f34b3b75a789d.pdf
zgs0L72R4c,CLoD-GS: Continuous Level-of-Detail via 3D Gaussian Splatting,Accept (Poster),Accept,5.00,2 6 6 6,ICLR 2026 Poster,/pdf/e6124ff8249ded0be998e58afc44121445602c81.pdf
zgqFQM8VNe,ConsisDrive: Identity-Preserving Driving World Models for Video Generation by Instance Mask,Accept (Poster),Accept,4.50,2 6 4 6,ICLR 2026 Poster,/pdf/a3462bf4c51bec62ad1f8cf4ddd433aaf2ff5fc7.pdf
zgNQGoqKS4,Structuring Hidden Features via Clustering of Unit-Level Activation Patterns,Reject,Reject,3.33,4 2 4,Submitted to ICLR 2026,/pdf/6a83ecb239a7db4b50205614abb3866415332da3.pdf
zfuGXx4059,Action Dependency Graphs for Globally Optimal Coordinated Reinforcement Learning,Reject,Reject,5.00,6 4 4 6,Submitted to ICLR 2026,/pdf/14aac7d95dc35d940f7e672a64802a0309ba0188.pdf
zftquoHTgS,SmartSwitch: Advancing LLM Reasoning by Overcoming Underthinking via Promoting Deeper Thought Exploration,Reject,Reject,4.00,8 2 4 2,Submitted to ICLR 2026,/pdf/8801c393797f36cc31f23531ca866146ca74fbaa.pdf
zfruJR2oxw,CLPO: Curriculum Learning meets Policy Optimization for LLM Reasoning,Reject,Reject,4.00,4 4 4 4,ICLR 2026 Conference Withdrawn Submission,/pdf/d16215ce9ee920609220e4bb805213c1dd4feacf.pdf
zfrb8tikzS,SEPS: Semantic-enhanced Patch Slimming Framework for fine-grained cross-modal alignment,Reject,Reject,4.00,2 4 6,ICLR 2026 Conference Withdrawn Submission,/pdf/65a18eec78c9703ecdd45c5cef1e806ff362dd84.pdf
zfkINmO7WZ,Practical Mechanism via Simple Input Control for Fault-Tolerant Spiking Neural Networks,Reject,Reject,3.50,2 4 4 4,Submitted to ICLR 2026,/pdf/17cf214915822db03911f6ca20b4fa81da06fa31.pdf
zfVICPB5Sv,Silent Leaks: Implicit Knowledge Extraction Attack on RAG Systems,Accept (Poster),Accept,4.50,6 4 4 4,ICLR 2026 Poster,/pdf/7a7b7734beedbd88f3082587d9d57809f59fcdcb.pdf
zfAcPuIHkE,Logic Channel Validation and Enhancement of Zero-Shot Vision-Language Comprehension on Vision Language Models,Reject,Reject,4.00,4 4 2 6,Submitted to ICLR 2026,/pdf/835688a20802f0f3c13c7323872f2fbb54e2d230.pdf
zfAGgLRWXJ,Hierarchical One-Class Data Description via Probabilistic Granular-ball Computing,Reject,Reject,5.00,6 4 4 6,Submitted to ICLR 2026,/pdf/0b671b2ce19f14ca282438b988025de1a252e88a.pdf
zf3gNrp3jp,LLM Routing with Dueling Feedback,Reject,Reject,5.00,6 4 6 4,Submitted to ICLR 2026,/pdf/6b80ce072b321fe2c98ba0445fd9a04491ebbf17.pdf
zexMILcQOV,MnemoDyn: Learning Resting State Dynamics from  $40$K FMRI sequences,Accept (Poster),Accept,4.67,6 2 6,ICLR 2026 Poster,/pdf/b40e756fb2cc8c2ff32f2bacadeaf939395e1526.pdf
zeqCjGQB4U,Why Keep Your Doubts to Yourself? Trading Visual Uncertainties among Vision-Language Models,Accept (Poster),Accept,6.50,6 6 8 6,ICLR 2026 Poster,/pdf/543d8ffa1ea0d3f919e99016343c0cf923f23a3a.pdf
zefuSJ3nOg,Dynamic Multi-sample Mixup with Gradient Exploration for Open-set Graph Anomaly Detection,Accept (Poster),Accept,5.00,4 6 6 4,ICLR 2026 Poster,/pdf/fe05b5c21a0a248627734f67887cbd970135d9ef.pdf
zdm4B2dp0V,Learning Mutation-Aware Visual Context for Antibody-Antigen Affinity Maturation Prediction,Reject,Reject,3.33,2 4 4,Submitted to ICLR 2026,/pdf/35c4da1407bbc77a995f944f5974af38da903a38.pdf
zd9R2T4HiX,Synthesising Counterfactual Explanations via Label-Conditional Gaussian Mixture Variational Autoencoders,Accept (Poster),Accept,4.00,6 4 2 4,ICLR 2026 Poster,/pdf/c8c6d5ca281712b4a5a23f39c5f588f2a1d610b8.pdf
zcmL592XRG,VenusX: Unlocking Fine-Grained Functional Understanding of Proteins,Accept (Poster),Accept,4.67,6 2 6,ICLR 2026 Poster,/pdf/d4af1b2b3f17b6f802c2af387ab3f199fb8b0482.pdf
zcK14OnlcK,"Compensate, Don't Reconstruct: Parameter- and Data-Efficient 2-bit LLM Quantization",Reject,Reject,3.67,4 4 4 4 4 2,Submitted to ICLR 2026,/pdf/ff4b7f893b6b46892061f5f451994383a98d6da3.pdf
zcJWfi0kHX,Estimation and Clustering in Finite Mixture Models: Bayesian Optimization as an Alternative to EM,Reject,Reject,3.50,2 2 6 4,Submitted to ICLR 2026,/pdf/cf031bc6a812a1fa53869e4a6ff1d3b9e1945207.pdf
zcAwK50ft0,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,Accept (Poster),Accept,5.00,2 8 4 6,ICLR 2026 Poster,/pdf/003495cbe40e10ee60de0f0d692afbf16028a737.pdf
zc1ezBrr5m,TaTToo: Tool-Grounded Thinking PRM for Test-Time Scaling in Tabular Reasoning,Accept (Poster),Accept,6.00,6 8 4,ICLR 2026 Poster,/pdf/68d9a9c15a15cf5c408253b18325985e7295b8af.pdf
zbo35gX83y,Spiking Neural Network with Mixture of Heterogeneous Enhancement Experts for Robust Underwater Object Detection,Reject,Reject,4.50,6 2 4 6,Submitted to ICLR 2026,/pdf/fe0f9ad6939098da6eb06759467ccd147fc89ff5.pdf
zbiWoFe60O,Topological Invariance and Breakdown in Learning,Reject,Reject,3.20,2 2 4 4 4,Submitted to ICLR 2026,/pdf/7d938718f7b36cab327fdbe76c1abd8ea9b452de.pdf
zbdhhlIy8o,Accelerated Learning with Linear Temporal Logic using Differentiable Simulation,Accept (Poster),Accept,6.00,8 4 6 6,ICLR 2026 Poster,/pdf/d4b2f8b81f6b9d38841cf8656b17cc24e7eb2653.pdf
zbRh0eSl7Q,Optimistic Value Iteration with Representation Learning for Low-Rank POMGs,Reject,Reject,4.50,6 4 6 2,Submitted to ICLR 2026,/pdf/75a7d8f1e581278e5a3497b7b55de51403341e25.pdf
zbHpRwzrq5,Motion-Aligned Word Embeddings for Text-to-Motion Generation,Accept (Poster),Accept,6.00,6 6 4 8,ICLR 2026 Poster,/pdf/5a865418ed9b9ce0d751835fd4b3d230c39274d8.pdf
zbHlT1aRJM,"Exponential Objective Decrease in Convex Setup is Possible! Gradient Descent Method Variants under $(L_0,L_1)$-Smoothness",Reject,Reject,4.50,4 4 4 6,Submitted to ICLR 2026,/pdf/6d07420eb6218f1537e928c79e2e85ff00bc5cdb.pdf
zatl0lZXbC,HNDiff: Haze-Noise Diffusion for Image Dehazing,Reject,Reject,5.00,4 4 8 4,Submitted to ICLR 2026,/pdf/b4cabaeb2838034cb019e6992d972d2777cdaa48.pdf
zZyxHmId3w,MIRACLE: Model-free Imitation and Reinforcement Learning for Adaptive Cut-Selection,Accept (Poster),Accept,5.50,4 4 8 6,ICLR 2026 Poster,/pdf/255454705b4a96aab0caa0a3aa8785397a0d404e.pdf
zZvrFzDkwF,CAPNAV: TOWARDS ROBUST INDOOR NAVIGATION WITH DESCRIPTION-FIRST MAPS,Reject,Reject,2.67,2 6 0,Submitted to ICLR 2026,/pdf/b8327d8cd018474f01ac9cb0e4dda47d8d0946a6.pdf
zZvWj4JrYj,SAC Flow: Sample-Efficient Reinforcement Learning of Flow-Based Policies via Velocity-Reparameterized Sequential Modeling,Accept (Poster),Accept,5.50,8 4 6 4,ICLR 2026 Poster,/pdf/8f2cc28948b5dc11c204619d3a0d4458cbb4f2d5.pdf
zZniBwnUyd,Generating Data-Driven Reasoning Rubrics for Domain-Adaptive Reward Modeling,Reject,Reject,4.00,4 4 4 4,Submitted to ICLR 2026,/pdf/32354b8b340bb9722adc7f94363f78368142e7f6.pdf
zZj48KOY3M,PolypDB: A Curated Multi-Center Dataset for Development of AI Algorithms in Colonoscopy,Reject,Reject,4.50,4 6 6 2,Submitted to ICLR 2026,/pdf/3569489e0c2f1b70f363b02c89c85511a68d2842.pdf
zZZKAytEGm,Why Some Models Resist Unlearning: A Linear Stability Perspective,Reject,Reject,4.00,4 4 4 4,Submitted to ICLR 2026,/pdf/149e7516f2efe3b7eabd483f7749462b338bc190.pdf
zZNYUkBS77,Debugging Concept Bottleneck Models through Removal and Retraining,Accept (Poster),Accept,5.50,4 8 4 6,ICLR 2026 Poster,/pdf/ae35a2115bb484c4c50326a7946f06b95b48ed81.pdf
zZL7HdfKuU,RAD: Retrieval High-quality Demonstrations to Enhance Decision-making,Reject,Reject,4.00,4 2 4 6,Submitted to ICLR 2026,/pdf/a2ccd9dda484525cb47a73bc5ddbc0dfd567f10d.pdf
zZ2RhS3nRI,MIAU: Membership Inference Attack Unlearning Score for Quantifying the Forgetting Quality of Unlearning Methods,Reject,Reject,2.50,2 2 2 4,Submitted to ICLR 2026,/pdf/ca2c1f1b2ca29cbd53b2c3496368bdec97cc72e7.pdf
zYqpnm20jB,"E$^3$-Pruner: Towards Efficient, Economical, and Effective Layer Pruning for Large Language Models",Reject,Reject,4.40,4 4 6 2 6,Submitted to ICLR 2026,/pdf/c6e1cf3cd3d8da07a69f7c5dd50febad3e83d4f5.pdf
